what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876072968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876231753
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281876234081
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876236547
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876236635
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281876239129
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876239395
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876239491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281876251551
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876252934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281876260238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876262207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876263848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876351028
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281876352703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876413406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876473928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876477080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281876489552
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281876492283
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876500860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876504880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876520902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876555685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876557368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876566734
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876646742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876666460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876668672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876676590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281876686912
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281876691030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876695544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876697040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876729230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876730536
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877036829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877037560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877164483
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877167349
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281877171184
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171185
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171206
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171227
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171245
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171265
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877171281
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877175079
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877175161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281877180651
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281877182922
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1281877182922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877184030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877185105
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281877185230
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1281877185631
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1281877185655
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1281877185656
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1281877185656
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1281877185656
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1281877185658
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1281877185659
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1281877185659
